id,slug,subdomain,custom_domain,name,site,phone,phone_carrier_type,category,street,city,postal_code,state,latitude,longitude,rating,reviews,photos_count,working_hours,about,logo,verified,place_id,location_link,location_reviews_link,email_1,email_1_validator_status,email_1_full_name,facebook,instagram,extras,created_at,updated_at
d65021be-978f-400a-aa9e-a164979be084,alltemp-heating-and-cooling,,,AllTemp Heating and Cooling,http://www.alltempistherighttemp.com/,+1 501-445-3907,mobile,Air conditioning contractor,,,,,34.7864704,-92.601076,4.3,6,5,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",{},https://lh4.googleusercontent.com/-lMBKr3yHRHk/AAAAAAAAAAI/AAAAAAAAAAA/l51t6tGtisE/s44-p-k-no-ns-nd/photo.jpg,true,ChIJD8OXxVmuXgARqaA6ndvsIN8,"https://www.google.com/maps/place/AllTemp+Heating+and+Cooling/@34.7864704,-92.60107599999999,14z/data=!4m8!1m2!2m1!1sAllTemp+Heating+and+Cooling!3m4!1s0x5eae59c597c30f:0xdf20ecdb9d3aa0a9!8m2!3d34.7864704!4d-92.60107599999999","https://www.google.com/maps/place/AllTemp+Heating+and+Cooling/@34.7864704,-92.60107599999999,13.99z/data=!4m16!1m7!3m6!1s0x5eae59c597c30f:0xdf20ecdb9d3aa0a9!2sAllTemp+Heating+and+Cooling!8m2!3d34.7864704!4d-92.60107599999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x5eae59c597c30f:0xdf20ecdb9d3aa0a9!8m2!3d34.7864704!4d-92.60107599999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",info@indiantypefoundry.com,RECEIVING,,https://www.facebook.com/alltempistherighttemp,,"{""h3"":""89444b79d2fffff"",""cid"":""16078111097692528809"",""kgmid"":""/g/11jt2pvq6l"",""type"":""Air conditioning contractor"",""about"":""{}"",""query"":""hvac contractor, 72116, North Little Rock, AR, US"",""phone_1"":""5014453907"",""phone_2"":""15014453907"",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""104875925032667884976"",""subtypes"":""Air conditioning contractor, Service establishment"",""google_id"":""0x5eae59c597c30f:0xdf20ecdb9d3aa0a9"",""time_zone"":""America/Chicago"",""website_title"":""AllTemp Heating and Cooling"",""website_description"":""HVAC heating and air Services in Hot Springs, Little Rock & Benton | AllTemp Heating & Cooling"",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":"""",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":""AT&T Mobility LLC"",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
b58e0b0c-015c-480e-909a-2dc58424d042,reids-air-maintenance,,,Reid's Air Maintenance,,+1 501-982-5772,mobile,HVAC contractor,,,,,34.714014,-92.469629,5,6,3,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",{},https://lh6.googleusercontent.com/-GdmYR8vMvYI/AAAAAAAAAAI/AAAAAAAAAAA/KCyhqwqJdLE/s44-p-k-no-ns-nd/photo.jpg,true,ChIJp6vqJOPq0ocRmLdwYes4ng0,"https://www.google.com/maps/place/Reid%27s+Air+Maintenance/@34.714014,-92.469629,14z/data=!4m8!1m2!2m1!1sReid%27s+Air+Maintenance!3m4!1s0x87d2eae324eaaba7:0xd9e38eb6170b798!8m2!3d34.714014!4d-92.469629","https://www.google.com/maps/place/Reid%27s+Air+Maintenance/@34.714014,-92.469629,13.99z/data=!4m16!1m7!3m6!1s0x87d2eae324eaaba7:0xd9e38eb6170b798!2sReid%27s+Air+Maintenance!8m2!3d34.714014!4d-92.469629!16s%2Fg%2F11ckvg1dmb!3m7!1s0x87d2eae324eaaba7:0xd9e38eb6170b798!8m2!3d34.714014!4d-92.469629!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,,,,,"{""h3"":""89265b49bd7ffff"",""cid"":""981284352416593816"",""kgmid"":""/g/1tj7fllx"",""type"":""HVAC contractor"",""about"":""{}"",""query"":""hvac contractor, 72118, North Little Rock, AR, US"",""phone_1"":"""",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""115468259510150808179"",""subtypes"":""HVAC contractor, Air conditioning contractor, Air conditioning repair service, Service establishment, Heating contractor"",""google_id"":""0x87d2eae324eaaba7:0xd9e38eb6170b798"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":"""",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
dbdd5f8c-b968-4b5f-92f3-be3463d7d663,crossroads-heating-and-cooling-llc,,,"Crossroads Heating and Cooling, L.L.C.",,+1 870-942-7218,,HVAC contractor,5784 US-167,Sheridan,72150,Arkansas,34.3767475,-92.3805896,3.7,6,1,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","{""Offerings"": {""Repair services"": true}}",,false,ChIJZ_pbqDBZLYYRPfJtbUqEAbY,"https://www.google.com/maps/place/Crossroads+Heating+and+Cooling%2C+L.L.C./@34.3767475,-92.3805896,14z/data=!4m8!1m2!2m1!1sCrossroads+Heating+and+Cooling%2C+L.L.C.!3m4!1s0x862d5930a85bfa67:0xb601844a6d6df23d!8m2!3d34.3767475!4d-92.3805896","https://www.google.com/maps/place/Crossroads+Heating+and+Cooling%2C+L.L.C./@34.3767475,-92.3805896,13.99z/data=!4m16!1m7!3m6!1s0x862d5930a85bfa67:0xb601844a6d6df23d!2sCrossroads+Heating+and+Cooling%2C+L.L.C.!8m2!3d34.3767475!4d-92.3805896!16s%2Fg%2F11ckvg1dmb!3m7!1s0x862d5930a85bfa67:0xb601844a6d6df23d!8m2!3d34.3767475!4d-92.3805896!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",crossroadshvac@att.net,RECEIVING,,https://www.facebook.com/CrossroadsHeatingandAir/,,"{""h3"":""89444b581a3ffff"",""cid"":""13114909045077963325"",""kgmid"":""/g/11g8zc21mr"",""type"":""HVAC contractor"",""about"":""{\""Offerings\"": {\""Repair services\"": true}}"",""query"":""hvac contractor, 72150, Sheridan, AR, US"",""phone_1"":""18033109015"",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""None"",""subtypes"":""HVAC contractor"",""google_id"":""0x862d5930a85bfa67:0xb601844a6d6df23d"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":""Rochelle Dye"",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":"""",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
28d2eddd-160f-4e19-8e01-695094d02d87,a-c-doctor-inc,,,A. C. Doctor Inc.,https://acdoctorinc.com/,+1 479-968-2266,,HVAC contractor,,,,,35.3208944,-93.166736,5,6,21,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",{},https://lh3.googleusercontent.com/-wTKFsYYnzoo/AAAAAAAAAAI/AAAAAAAAAAA/FSp8z97e5OA/s44-p-k-no-ns-nd/photo.jpg,true,ChIJmRAO1O6wzYcRf2MV8xj4OBE,"https://www.google.com/maps/place/A.+C.+Doctor+Inc./@35.3208944,-93.166736,14z/data=!4m8!1m2!2m1!1sA.+C.+Doctor+Inc.!3m4!1s0x87cdb0eed40e1099:0x1138f818f315637f!8m2!3d35.3208944!4d-93.166736","https://www.google.com/maps/place/A.+C.+Doctor+Inc./@35.3208944,-93.166736,13.99z/data=!4m16!1m7!3m6!1s0x87cdb0eed40e1099:0x1138f818f315637f!2sA.+C.+Doctor+Inc.!8m2!3d35.3208944!4d-93.166736!16s%2Fg%2F11ckvg1dmb!3m7!1s0x87cdb0eed40e1099:0x1138f818f315637f!8m2!3d35.3208944!4d-93.166736!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",info@acdoctorinc.com,RECEIVING,,https://www.facebook.com/acdoctorheatingandcooling/,,"{""h3"":""89265a780c3ffff"",""cid"":""1241014483381740415"",""kgmid"":""/g/11b7m9j99b"",""type"":""HVAC contractor"",""about"":""{}"",""query"":""hvac contractor, 72157, Springfield, AR, US"",""phone_1"":""4799682266"",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""114831626852357636788"",""subtypes"":""HVAC contractor, Air conditioning contractor, Service establishment, Furnace repair service"",""google_id"":""0x87cdb0eed40e1099:0x1138f818f315637f"",""time_zone"":""America/Chicago"",""website_title"":""Home | Dover HVAC, Air Conditioning and Furnace Replacement"",""website_description"":""Dover Home | Dover HVAC, Air Conditioning and Furnace Replacement"",""site_company_insights_name"":""acdoctorinc.com"",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":""Lawrence Theodore Roe"",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":"""",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
d4500cf0-2b89-4a2f-a3b9-5a90e35230c5,butlerville-heating-air,,,Butlerville Heating & Air,,+1 501-941-9738,,HVAC contractor,,,,,34.7520156,-92.129428,4.8,6,0,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Closed""}","{""Service options"": {""Online estimates"": false}}",https://lh3.googleusercontent.com/-dunkERzTAUk/AAAAAAAAAAI/AAAAAAAAAAA/OsI8D1Rmm_s/s44-p-k-no-ns-nd/photo.jpg,true,ChIJKUjWIAzj0ocR8Enz58K85hM,"https://www.google.com/maps/place/Butlerville+Heating+%26+Air/@34.7520156,-92.12942799999999,14z/data=!4m8!1m2!2m1!1sButlerville+Heating+%26+Air!3m4!1s0x87d2e30c20d64829:0x13e6bcc2e7f349f0!8m2!3d34.7520156!4d-92.12942799999999","https://www.google.com/maps/place/Butlerville+Heating+%26+Air/@34.7520156,-92.12942799999999,13.99z/data=!4m16!1m7!3m6!1s0x87d2e30c20d64829:0x13e6bcc2e7f349f0!2sButlerville+Heating+%26+Air!8m2!3d34.7520156!4d-92.12942799999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x87d2e30c20d64829:0x13e6bcc2e7f349f0!8m2!3d34.7520156!4d-92.12942799999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,,,,,"{""h3"":""89265b4717bffff"",""cid"":""1434041076665240048"",""kgmid"":""/g/11f5pnchgf"",""type"":""HVAC contractor"",""about"":""{\""Service options\"": {\""Online estimates\"": false}}"",""query"":""hvac contractor, 72173, Vilonia, AR, US"",""phone_1"":"""",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""101105190390708254957"",""subtypes"":""HVAC contractor, Service establishment"",""google_id"":""0x87d2e30c20d64829:0x13e6bcc2e7f349f0"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":""Jimmy Griffith"",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":"""",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
840e9733-badf-44d1-8db4-603059b64635,jeromy-carpenter-heating-air,,,Jeromy Carpenter Heating & Air,https://jeromycarpenterandsonhvac.com/,+1 479-774-9809,mobile,HVAC contractor,1407 W Main St,Clarksville,72830,Arkansas,35.4713041,-93.4794708,4.3,6,4,"{""Monday"": ""7:30AM-5PM"", ""Tuesday"": ""7:30AM-5PM"", ""Wednesday"": ""7:30AM-5PM"", ""Thursday"": ""7:30AM-5PM"", ""Friday"": ""7:30AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","{""Offerings"": {""Repair services"": true}}",https://lh5.googleusercontent.com/-fh__XVFzGK8/AAAAAAAAAAI/AAAAAAAAAAA/XxjnzChkeFk/s44-p-k-no-ns-nd/photo.jpg,true,ChIJOxv5azcNKmgRY-eFOfkzf-8,"https://www.google.com/maps/place/Jeromy+Carpenter+Heating+%26+Air/@35.4713041,-93.4794708,14z/data=!4m8!1m2!2m1!1sJeromy+Carpenter+Heating+%26+Air!3m4!1s0x682a0d376bf91b3b:0xef7f33f93985e763!8m2!3d35.4713041!4d-93.4794708","https://www.google.com/maps/place/Jeromy+Carpenter+Heating+%26+Air/@35.4713041,-93.4794708,13.99z/data=!4m16!1m7!3m6!1s0x682a0d376bf91b3b:0xef7f33f93985e763!2sJeromy+Carpenter+Heating+%26+Air!8m2!3d35.4713041!4d-93.4794708!16s%2Fg%2F11ckvg1dmb!3m7!1s0x682a0d376bf91b3b:0xef7f33f93985e763!8m2!3d35.4713041!4d-93.4794708!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,,,,,"{""h3"":""89265a499d3ffff"",""cid"":""17257569442611980131"",""kgmid"":""/g/11s4x4mvvx"",""type"":""HVAC contractor"",""about"":""{\""Offerings\"": {\""Repair services\"": true}}"",""query"":""hvac contractor, 72830, Clarksville, AR, US"",""phone_1"":""4797749809"",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""116868010898668220006"",""subtypes"":""HVAC contractor, Air conditioning contractor, Heating contractor"",""google_id"":""0x682a0d376bf91b3b:0xef7f33f93985e763"",""time_zone"":""America/Chicago"",""website_title"":""Jeromy Carpenter and Son Heating and Air | Expert Air Conditioner Repair and Heat Pump Repair in Clarksville, Ozark, Coal Hill, Paris, Hartman, London, Knoxville, Russellville, Lamar, Ozone, Oark"",""website_description"":""Jeromy Carpenter and Son Heating and Air services Clarksville, AR and the surrounding area. We provide expert air conditioner repair, heat and air, ac unit, ac repair, heating and cooling, heat and ac, ac repair services, heating ac, central cooling air conditioner, central heating and air conditioning units, air consitioning service, home air conditioning systems, heating air, heating air conditioning, HVAC, aircon, air conditioning unit, air conditioning installation, furnace installation, air conditioning service, furnace repair, freon, heat pumps, geothermal, air conditioning service near me, furnace repair near me, HVAC, HVAC repair, HVAC service, and HVAC repair near me. Call us today at 479-774-9809 and experience excellent service today!"",""site_company_insights_name"":""jeromycarpenterandsonhvac.com"",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":""Misty Rochelle Carpenter"",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":""T-Mobile USA Inc."",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
9bc23249-7cbc-49a4-936b-64ca5b2f474c,dison-service-company,,,Dison Service Company,https://www.lennox.com/locate/dealer/ar/el-dorado/dison-service-company-inc,+1 870-862-0409,,Air conditioning contractor,239 Industrial Rd,El Dorado,71730,Arkansas,33.1943483,-92.6173368,4.3,6,4,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",{},https://lh6.googleusercontent.com/-AALqMtxKlW4/AAAAAAAAAAI/AAAAAAAAAAA/nf7YiSLaeAE/s44-p-k-no-ns-nd/photo.jpg,true,ChIJbVMa4SwFMoYR2QpMJuTxUUA,"https://www.google.com/maps/place/Dison+Service+Company/@33.1943483,-92.61733679999999,14z/data=!4m8!1m2!2m1!1sDison+Service+Company!3m4!1s0x8632052ce11a536d:0x4051f1e4264c0ad9!8m2!3d33.1943483!4d-92.61733679999999","https://www.google.com/maps/place/Dison+Service+Company/@33.1943483,-92.61733679999999,13.99z/data=!4m16!1m7!3m6!1s0x8632052ce11a536d:0x4051f1e4264c0ad9!2sDison+Service+Company!8m2!3d33.1943483!4d-92.61733679999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8632052ce11a536d:0x4051f1e4264c0ad9!8m2!3d33.1943483!4d-92.61733679999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",rick.warner@lennox.com,RECEIVING,Rick Warner,https://www.facebook.com/MichiganClimateControl/,http://instagram.com/lennoxair,"{""h3"":""8944485a43bffff"",""cid"":""4634751453738306265"",""kgmid"":""/g/1tcyfv8w"",""type"":""Air conditioning contractor"",""about"":""{}"",""query"":""hvac contractor, 71731, El Dorado, AR, US"",""phone_1"":""+1 800-953-6669"",""phone_2"":""18175968367"",""phone_3"":""16183934102"",""twitter"":""http://twitter.com/a1aircondition"",""youtube"":"""",""owner_id"":""105875997025048344737"",""subtypes"":""Air conditioning contractor"",""google_id"":""0x8632052ce11a536d:0x4051f1e4264c0ad9"",""time_zone"":""America/Chicago"",""website_title"":""Air Conditioners | Central Air Conditioning | Lennox Residential"",""website_description"":""Keeping cool is easy when you rely on a Lennox air conditioner. Review our wide selection of air conditioners, sure to meet your residential application needs."",""site_company_insights_name"":""Lennox"",""site_company_insights_phone"":""+1 972-497-5000"",""phone_whitepages_phones_name"":""David Lee Dison"",""site_company_insights_country"":""United States"",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":"""",""site_company_insights_founded_year"":""1895""}",2025-05-14T07:47:02.098Z,
51d6d6e2-2920-412d-9481-e893843fee43,murphree-heating-air-llc,,,Murphree Heating & Air LLC,,+1 870-315-4192,mobile,HVAC contractor,,,,,33.31456,-92.7965185,5,6,2,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",{},https://lh6.googleusercontent.com/-dvEOPdQ4gOY/AAAAAAAAAAI/AAAAAAAAAAA/kzaxdICdJ9w/s44-p-k-no-ns-nd/photo.jpg,true,ChIJg7EtOgHlrWsRH9v_49x6Odw,"https://www.google.com/maps/place/Murphree+Heating+%26+Air+LLC/@33.31456,-92.79651849999999,14z/data=!4m8!1m2!2m1!1sMurphree+Heating+%26+Air+LLC!3m4!1s0x6bade5013a2db183:0xdc397adce3ffdb1f!8m2!3d33.31456!4d-92.79651849999999","https://www.google.com/maps/place/Murphree+Heating+%26+Air+LLC/@33.31456,-92.79651849999999,13.99z/data=!4m16!1m7!3m6!1s0x6bade5013a2db183:0xdc397adce3ffdb1f!2sMurphree+Heating+%26+Air+LLC!8m2!3d33.31456!4d-92.79651849999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x6bade5013a2db183:0xdc397adce3ffdb1f!8m2!3d33.31456!4d-92.79651849999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",blakemurphree13@yahoo.com,RECEIVING,,https://www.facebook.com/people/Murphree-Heating-Air-LLC/100070969347235/,,"{""h3"":""894448425a7ffff"",""cid"":""15868849851153242911"",""kgmid"":""/g/11rhv_b3g6"",""type"":""HVAC contractor"",""about"":""{}"",""query"":""hvac contractor, 71745, Harrell, AR, US"",""phone_1"":""18703154192"",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""100628339399071727104"",""subtypes"":""HVAC contractor, Service establishment"",""google_id"":""0x6bade5013a2db183:0xdc397adce3ffdb1f"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":"""",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":""CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AR"",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
6553d106-bec5-4e43-ab85-5b16ef02ecc3,lees-heating-and-air-of-monticello-llc,,,Lee's Heating And Air Of Monticello LLC.,,+1 870-723-6527,mobile,HVAC contractor,1210 US-278,Monticello,71655,Arkansas,33.628062,-91.76964,3.7,6,1,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}","{""Offerings"": {""Repair services"": true}}",https://lh4.googleusercontent.com/-1EEBF5pbUA0/AAAAAAAAAAI/AAAAAAAAAAA/sh2q3tcEl-0/s44-p-k-no-ns-nd/photo.jpg,true,ChIJP4YNBG5TLIYRiCE_A7NrQT0,"https://www.google.com/maps/place/Lee%27s+Heating+And+Air+Of+Monticello+LLC./@33.628062,-91.76964,14z/data=!4m8!1m2!2m1!1sLee%27s+Heating+And+Air+Of+Monticello+LLC.!3m4!1s0x862c536e040d863f:0x3d416bb3033f2188!8m2!3d33.628062!4d-91.76964","https://www.google.com/maps/place/Lee%27s+Heating+And+Air+Of+Monticello+LLC./@33.628062,-91.76964,13.99z/data=!4m16!1m7!3m6!1s0x862c536e040d863f:0x3d416bb3033f2188!2sLee%27s+Heating+And+Air+Of+Monticello+LLC.!8m2!3d33.628062!4d-91.76964!16s%2Fg%2F11ckvg1dmb!3m7!1s0x862c536e040d863f:0x3d416bb3033f2188!8m2!3d33.628062!4d-91.76964!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,,,,,"{""h3"":""89444a19393ffff"",""cid"":""4413927526397583752"",""kgmid"":""/g/11b7j3ft35"",""type"":""HVAC contractor"",""about"":""{\""Offerings\"": {\""Repair services\"": true}}"",""query"":""hvac contractor, 71751, Louann, AR, US"",""phone_1"":"""",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""106536828301037677695"",""subtypes"":""HVAC contractor"",""google_id"":""0x862c536e040d863f:0x3d416bb3033f2188"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":"""",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":""NEW CINGULAR WIRELESS PCS, LLC - IL"",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
8a92b0d6-5207-4ffe-9768-c3f4c2d6bbf4,climatek-hvac-electrical,,,Climatek Hvac & Electrical,,+1 870-307-8581,mobile,HVAC contractor,1997 Batesville Blvd,Batesville,72501,Arkansas,35.6991864,-91.6237712,5,6,4,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",{},https://lh5.googleusercontent.com/-lq2uNK5F6J4/AAAAAAAAAAI/AAAAAAAAAAA/8Mn5Fr1uZJ4/s44-p-k-no-ns-nd/photo.jpg,true,ChIJhadCae7F04cRba9Wv7-6I-k,"https://www.google.com/maps/place/Climatek+Hvac+%26+Electrical/@35.699186399999995,-91.6237712,14z/data=!4m8!1m2!2m1!1sClimatek+Hvac+%26+Electrical!3m4!1s0x87d3c5ee6942a785:0xe923babfbf56af6d!8m2!3d35.699186399999995!4d-91.6237712","https://www.google.com/maps/place/Climatek+Hvac+%26+Electrical/@35.699186399999995,-91.6237712,13.99z/data=!4m16!1m7!3m6!1s0x87d3c5ee6942a785:0xe923babfbf56af6d!2sClimatek+Hvac+%26+Electrical!8m2!3d35.699186399999995!4d-91.6237712!16s%2Fg%2F11ckvg1dmb!3m7!1s0x87d3c5ee6942a785:0xe923babfbf56af6d!8m2!3d35.699186399999995!4d-91.6237712!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",hunter.climatekhvac@gmail.com,RECEIVING,,https://www.facebook.com/climatekhvacelectrical/,,"{""h3"":""89265872d03ffff"",""cid"":""16799476367733731181"",""kgmid"":""/g/11l42_bw8_"",""type"":""HVAC contractor"",""about"":""{}"",""query"":""hvac contractor, 72573, Sage, AR, US"",""phone_1"":""18703078581"",""phone_2"":"""",""phone_3"":"""",""twitter"":"""",""youtube"":"""",""owner_id"":""118114326881055584179"",""subtypes"":""HVAC contractor"",""google_id"":""0x87d3c5ee6942a785:0xe923babfbf56af6d"",""time_zone"":""America/Chicago"",""website_title"":"""",""website_description"":"""",""site_company_insights_name"":"""",""site_company_insights_phone"":"""",""phone_whitepages_phones_name"":"""",""site_company_insights_country"":"""",""phone_phones_enricher_carrier_name"":"""",""phone_phones_enricher_carrier_type"":""mobile"",""site_company_insights_founded_year"":""""}",2025-05-14T07:47:02.098Z,
