
query,name,google_id,place_id,location_link,photo_id,photo_url,photo_url_big,latitude,longitude,photo_date,photo_upload_source,photo_source_video,photo_tags,photo_tag_ids,original_photo_url
ChIJM2bPcSEs1IcRbXc3CO1ekOc,HVAC Heating & Cooling,0x87d42c2171cf6633:0xe7905eed0837776d,ChIJM2bPcSEs1IcRbXc3CO1ekOc,"https://www.google.com/maps/place/HVAC+Heating+%26+Cooling/@35.801193999999995,-90.6732493,14z/data=!4m8!1m2!2m1!1sHVAC+Heating+%26+Cooling!3m4!1s0x87d42c2171cf6633:0xe7905eed0837776d!8m2!3d35.801193999999995!4d-90.6732493",m8U0BJvr2S1FgdZtcWcxAw,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m8U0BJvr2S1FgdZtcWcxAw&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=261.3867&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m8U0BJvr2S1FgdZtcWcxAw&cb_client=maps_sv.tactile.gps&w=1600&h=1000&yaw=261.3867&pitch=0&thumbfov=100,35.8012430983828,-90.67284964722596,6/8/2023 15:00:00,launch,,front,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m8U0BJvr2S1FgdZtcWcxAw&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=261.3867&pitch=0&thumbfov=100
ChIJsVtaru8qzYcRGkZ87pyAcQk,Integrity heating and air,0x87cd2aefae5a5bb1:0x971809cee7c461a,ChIJsVtaru8qzYcRGkZ87pyAcQk,"https://www.google.com/maps/place/Integrity+heating+and+air/@34.5011291,-93.06970319999999,14z/data=!4m8!1m2!2m1!1sIntegrity+heating+and+air!3m4!1s0x87cd2aefae5a5bb1:0x971809cee7c461a!8m2!3d34.5011291!4d-93.06970319999999",AF1QipMfUAx7Qexf244GRZJ7yrG2zcu_dewxYC_nT4Lk,https://lh3.googleusercontent.com/p/AF1QipMfUAx7Qexf244GRZJ7yrG2zcu_dewxYC_nT4Lk,https://lh3.googleusercontent.com/p/AF1QipMfUAx7Qexf244GRZJ7yrG2zcu_dewxYC_nT4Lk=w2048-h2048-k-no,34.5009592,-93.06970550000001,1/13/2021 5:00:00,gmb_onboarding_web,,,,https://lh3.googleusercontent.com/p/AF1QipMfUAx7Qexf244GRZJ7yrG2zcu_dewxYC_nT4Lk=w203-h360-k-no
ChIJsVtaru8qzYcRGkZ87pyAcQk,Integrity heating and air,0x87cd2aefae5a5bb1:0x971809cee7c461a,ChIJsVtaru8qzYcRGkZ87pyAcQk,"https://www.google.com/maps/place/Integrity+heating+and+air/@34.5011291,-93.06970319999999,14z/data=!4m8!1m2!2m1!1sIntegrity+heating+and+air!3m4!1s0x87cd2aefae5a5bb1:0x971809cee7c461a!8m2!3d34.5011291!4d-93.06970319999999",AF1QipM8Z9mE7s65RZ2AiqJiPB9zqXXUFyMHR0E691TC,https://lh3.googleusercontent.com/p/AF1QipM8Z9mE7s65RZ2AiqJiPB9zqXXUFyMHR0E691TC,https://lh3.googleusercontent.com/p/AF1QipM8Z9mE7s65RZ2AiqJiPB9zqXXUFyMHR0E691TC=w2048-h2048-k-no,34.5009592,-93.06970550000001,1/13/2021 5:00:00,gmb_onboarding_web,,all,1,https://lh3.googleusercontent.com/p/AF1QipM8Z9mE7s65RZ2AiqJiPB9zqXXUFyMHR0E691TC=w203-h270-k-no
ChIJsVtaru8qzYcRGkZ87pyAcQk,Integrity heating and air,0x87cd2aefae5a5bb1:0x971809cee7c461a,ChIJsVtaru8qzYcRGkZ87pyAcQk,"https://www.google.com/maps/place/Integrity+heating+and+air/@34.5011291,-93.06970319999999,14z/data=!4m8!1m2!2m1!1sIntegrity+heating+and+air!3m4!1s0x87cd2aefae5a5bb1:0x971809cee7c461a!8m2!3d34.5011291!4d-93.06970319999999",AF1QipNCEd2G5_2rm4kH9yu7moSOmuH3jplmqcJuf3Wq,https://lh3.googleusercontent.com/p/AF1QipNCEd2G5_2rm4kH9yu7moSOmuH3jplmqcJuf3Wq,https://lh3.googleusercontent.com/p/AF1QipNCEd2G5_2rm4kH9yu7moSOmuH3jplmqcJuf3Wq=w2048-h2048-k-no,34.5009592,-93.06970550000001,1/13/2021 5:00:00,gmb_onboarding_web,,,,https://lh3.googleusercontent.com/p/AF1QipNCEd2G5_2rm4kH9yu7moSOmuH3jplmqcJuf3Wq=w203-h270-k-no
ChIJsVtaru8qzYcRGkZ87pyAcQk,Integrity heating and air,0x87cd2aefae5a5bb1:0x971809cee7c461a,ChIJsVtaru8qzYcRGkZ87pyAcQk,"https://www.google.com/maps/place/Integrity+heating+and+air/@34.5011291,-93.06970319999999,14z/data=!4m8!1m2!2m1!1sIntegrity+heating+and+air!3m4!1s0x87cd2aefae5a5bb1:0x971809cee7c461a!8m2!3d34.5011291!4d-93.06970319999999",N4gV5AFqbP5ZV2mECnzEjQ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N4gV5AFqbP5ZV2mECnzEjQ&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=12.115541&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N4gV5AFqbP5ZV2mECnzEjQ&cb_client=maps_sv.tactile.gps&w=1600&h=1000&yaw=12.115541&pitch=0&thumbfov=100,34.50096774199776,-93.06974523042796,11/10/2023 21:00:00,launch,,front,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N4gV5AFqbP5ZV2mECnzEjQ&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=12.115541&pitch=0&thumbfov=100
ChIJy90DmVXi0ocRklWxGbnJAr0,Intek Heating + Air,0x87d2e2559903ddcb:0xbd02c9b919b15592,ChIJy90DmVXi0ocRklWxGbnJAr0,"https://www.google.com/maps/place/Intek+Heating+%2B+Air/@34.9792541,-91.86798399999999,14z/data=!4m8!1m2!2m1!1sIntek+Heating+%2B+Air!3m4!1s0x87d2e2559903ddcb:0xbd02c9b919b15592!8m2!3d34.9792541!4d-91.86798399999999",CDQObgq2n825Ba3mi1KGLQ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CDQObgq2n825Ba3mi1KGLQ&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=40.660686&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CDQObgq2n825Ba3mi1KGLQ&cb_client=maps_sv.tactile.gps&w=1600&h=1000&yaw=40.660686&pitch=0&thumbfov=100,34.97891439270021,-91.86834011766707,1/23/2025 18:00:00,launch,,front,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CDQObgq2n825Ba3mi1KGLQ&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=40.660686&pitch=0&thumbfov=100
ChIJ10KtX9k-zocR3LemNkD6Sy8,Jeff's Heating & Cooling,0x87ce3ed95fad42d7:0x2f4bfa4036a6b7dc,ChIJ10KtX9k-zocR3LemNkD6Sy8,"https://www.google.com/maps/place/Jeff%27s+Heating+%26+Cooling/@36.3035843,-92.7333452,14z/data=!4m8!1m2!2m1!1sJeff%27s+Heating+%26+Cooling!3m4!1s0x87ce3ed95fad42d7:0x2f4bfa4036a6b7dc!8m2!3d36.3035843!4d-92.7333452",PrfhiJtO9U_I67irpdiw7Q,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PrfhiJtO9U_I67irpdiw7Q&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=209.37404&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PrfhiJtO9U_I67irpdiw7Q&cb_client=maps_sv.tactile.gps&w=1600&h=1000&yaw=209.37404&pitch=0&thumbfov=100,36.303642014398356,-92.73330488939183,10/8/2024 22:00:00,launch,,front,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PrfhiJtO9U_I67irpdiw7Q&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=209.37404&pitch=0&thumbfov=100
ChIJwUfgnChZ5o4R3EnVA6VbLP0,Jennings Heating & Cooling,0x8ee659289ce047c1:0xfd2c5ba503d549dc,ChIJwUfgnChZ5o4R3EnVA6VbLP0,"https://www.google.com/maps/place/Jennings+Heating+%26+Cooling/@35.401244,-91.6427025,14z/data=!4m8!1m2!2m1!1sJennings+Heating+%26+Cooling!3m4!1s0x8ee659289ce047c1:0xfd2c5ba503d549dc!8m2!3d35.401244!4d-91.6427025",AF1QipN6ijQYEJTrwwvel7TQwIVkxVvzzdogmA-MGIro,https://lh3.googleusercontent.com/p/AF1QipN6ijQYEJTrwwvel7TQwIVkxVvzzdogmA-MGIro,https://lh3.googleusercontent.com/p/AF1QipN6ijQYEJTrwwvel7TQwIVkxVvzzdogmA-MGIro=w2048-h2048-k-no,0.0,0.0,9/13/2021 13:00:00,gmb_web,,,,https://lh3.googleusercontent.com/p/AF1QipN6ijQYEJTrwwvel7TQwIVkxVvzzdogmA-MGIro=w203-h270-k-no
ChIJwUfgnChZ5o4R3EnVA6VbLP0,Jennings Heating & Cooling,0x8ee659289ce047c1:0xfd2c5ba503d549dc,ChIJwUfgnChZ5o4R3EnVA6VbLP0,"https://www.google.com/maps/place/Jennings+Heating+%26+Cooling/@35.401244,-91.6427025,14z/data=!4m8!1m2!2m1!1sJennings+Heating+%26+Cooling!3m4!1s0x8ee659289ce047c1:0xfd2c5ba503d549dc!8m2!3d35.401244!4d-91.6427025",AF1QipP9VgkeDTAqq97rZsfa3Btpohe4_89Mlsv9TKcD,https://lh3.googleusercontent.com/p/AF1QipP9VgkeDTAqq97rZsfa3Btpohe4_89Mlsv9TKcD,https://lh3.googleusercontent.com/p/AF1QipP9VgkeDTAqq97rZsfa3Btpohe4_89Mlsv9TKcD=w2048-h2048-k-no,0.0,0.0,9/13/2021 13:00:00,gmb_web,,front,2,https://lh3.googleusercontent.com/p/AF1QipP9VgkeDTAqq97rZsfa3Btpohe4_89Mlsv9TKcD=w203-h270-k-no
ChIJwUfgnChZ5o4R3EnVA6VbLP0,Jennings Heating & Cooling,0x8ee659289ce047c1:0xfd2c5ba503d549dc,ChIJwUfgnChZ5o4R3EnVA6VbLP0,"https://www.google.com/maps/place/Jennings+Heating+%26+Cooling/@35.401244,-91.6427025,14z/data=!4m8!1m2!2m1!1sJennings+Heating+%26+Cooling!3m4!1s0x8ee659289ce047c1:0xfd2c5ba503d549dc!8m2!3d35.401244!4d-91.6427025",AF1QipOUXmKxIB_FafkvLXlgh8wOOYiI0S4lwn627R9H,https://lh3.googleusercontent.com/p/AF1QipOUXmKxIB_FafkvLXlgh8wOOYiI0S4lwn627R9H,https://lh3.googleusercontent.com/p/AF1QipOUXmKxIB_FafkvLXlgh8wOOYiI0S4lwn627R9H=w2048-h2048-k-no,0.0,0.0,11/15/2021 15:00:00,gmb_web,,sign,4,https://lh3.googleusercontent.com/p/AF1QipOUXmKxIB_FafkvLXlgh8wOOYiI0S4lwn627R9H=w203-h262-k-no
