slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
airzone-llc,,,AIRZONE LLC,https://airzonellc.com/,https://lh5.googleusercontent.com/-ig3gp9boNas/AAAAAAAAAAI/AAAAAAAAAAA/ghxj-OIeoBI/s44-p-k-no-ns-nd/photo.jpg,ChIJGTj3csMviYgR1bqIgtjFr9E,#b8b8b8,#7c7c7c
ls-heating-and-cooling,,,L&S Heating and Cooling,,,ChIJDXSCow4piYgRJOVsWWdFMW8,,
ready-heating-and-air-llc,,,"Ready Heating and Air, LLC",,https://lh6.googleusercontent.com/--xYhBk-bmw8/AAAAAAAAAAI/AAAAAAAAAAA/N98ObqiI3CA/s44-p-k-no-ns-nd/photo.jpg,ChIJ92bjvsgviYgRdb3kenDw30M,Error,Error
all-seasons-heating-cooling,,,All Seasons Heating & Cooling,https://www.alabamacomfort.com/,https://lh6.googleusercontent.com/-IjzuH9dnSFk/AAAAAAAAAAI/AAAAAAAAAAA/kOjCiO0d5C8/s44-p-k-no-ns-nd/photo.jpg,ChIJ-6thtVsCiogR7tjwm-JrbZk,Error,Error
advanced-heating-air-pros-alexander-city,,,Advanced Heating & Air Pros - Alexander City,https://advancedacpros.com/,https://lh5.googleusercontent.com/-jWlVU7XwqGs/AAAAAAAAAAI/AAAAAAAAAAA/EWaqbA7YpcA/s44-p-k-no-ns-nd/photo.jpg,ChIJRQOwXAsLjIgRt1BdLVkn2Vs,#303f4e,#a04832
jacksons-refrigeration-llc,,,Jackson's Refrigeration LLC,http://a1fourseasons.com/,https://lh5.googleusercontent.com/-tG5MMLTMEnA/AAAAAAAAAAI/AAAAAAAAAAA/n9BrPs8B8dg/s44-p-k-no-ns-nd/photo.jpg,ChIJfZ28MZkLjIgRLGAgE4PXHBo,#e5e2e0,#353231
byrds-heating-cooling,,,Byrd's Heating & Cooling,,https://lh6.googleusercontent.com/-3sd1WxdrttY/AAAAAAAAAAI/AAAAAAAAAAA/raVfLLSHSws/s44-p-k-no-ns-nd/photo.jpg,ChIJS5GU6jWOiYgRuvpMtOAnsW0,#f1eded,#8a6d70
camcor-heating-and-cooling,,,CAMCOR Heating and Cooling,,,ChIJf-eAfaWSiYgR8Oarj3oMqmE,,
excel-electric-heating-and-cooling,,,Excel Electric Heating and Cooling,http://www.excelehc.com/,https://lh6.googleusercontent.com/-fG24x9JOPuU/AAAAAAAAAAI/AAAAAAAAAAA/Tru31rNuqRA/s44-p-k-no-ns-nd/photo.jpg,ChIJWe35VLdnigERkWFli6wucrU,#e2be2a,#847418
rogers-refrigeration,,,Roger's Refrigeration,http://www.myrogersrefrigeration.com/,https://lh4.googleusercontent.com/-OXJMFQzxN6g/AAAAAAAAAAI/AAAAAAAAAAA/_i0yEnJPta8/s44-p-k-no-ns-nd/photo.jpg,ChIJ3c21_yDskYgRkInvIDUaB9g,Error,Error
climate-flow-llc,,,Climate Flow LLC,,,ChIJE7kLMJWzi4gRW2LHgB3KqTI,,
gady-electrical-contractor-inc,,,Gady Electrical Contractor Inc,,,ChIJVVVVVRW0i4gRWlT2t5qEwkc,,
worthey-hvac-services-llc,,,Worthey HVAC Services LLC,http://www.wortheyhvacservices.com/,https://lh4.googleusercontent.com/--VrXMV1HTK0/AAAAAAAAAAI/AAAAAAAAAAA/_oanmuL_EDs/s44-p-k-no-ns-nd/photo.jpg,ChIJVRXPKxVZYogRdoD2LAbTYjo,#aa9b95,#6a97bd
moss-heating-and-cooling-llc,,,Moss Heating and Cooling LLC,http://www.mossheatingandcoolingllc.com/,https://lh6.googleusercontent.com/-cImfZnAd32Q/AAAAAAAAAAI/AAAAAAAAAAA/bqfLE1-TOTU/s44-p-k-no-ns-nd/photo.jpg,ChIJg5Cd_QCAs6MRscetrSPCQQg,#3e263a,#8f4450
anchor-bay-mechanical,,,Anchor Bay Mechanical,,,ChIJ7xuixYiJYogRM0LMg4zS3rA,,
chad-simmons-heating-cooling,,,Chad Simmons Heating & Cooling,,https://lh6.googleusercontent.com/-qXgXlA3tua4/AAAAAAAAAAI/AAAAAAAAAAA/SvttPCS_iWA/s44-p-k-no-ns-nd/photo.jpg,ChIJ90cLlAJfYogRHzAsXTbRPQs,#897a89,#25202c
chads-climate-control-heating-air,,,Chad's Climate Control Heating & Air,http://hvachsv.com/,https://lh3.googleusercontent.com/-LDyS3vs6J1U/AAAAAAAAAAI/AAAAAAAAAAA/JNaUBXYR63o/s44-p-k-no-ns-nd/photo.jpg,ChIJq_qF2371YogRhdWHBKNbFn0,#f1eaeb,#22204e
comfort-masters-of-north-alabama,,,Comfort Masters of North Alabama,https://comfortmastersal.com/?utm_source=GMB,https://lh5.googleusercontent.com/-7uF0thqlTYQ/AAAAAAAAAAI/AAAAAAAAAAA/x5gIbnn-0LY/s44-p-k-no-ns-nd/photo.jpg,ChIJtf-_J_NhYogRaWa9OI_tHv0,#f0f0e9,#44533e
david-boston-heating-cooling,,,David Boston Heating & Cooling,,,ChIJK7W_8N_rYogREqP9v1UXvRg,,
gatlins-heating-cooling-inc,,,Gatlin's Heating & Cooling Inc,https://www.gatlinsinc.com/,https://lh6.googleusercontent.com/-7Y5sx2ULlHA/AAAAAAAAAAI/AAAAAAAAAAA/MRbUsRLjnyo/s44-p-k-no-ns-nd/photo.jpg,ChIJn22ap0KLYogR-NR9C6rxNy0,#142e3c,#88232c
north-alabama-heating-and-cooling-llc,,,North Alabama Heating and Cooling LLC,http://northalabamaheatin.wixsite.com/website,https://lh3.googleusercontent.com/-a69lCiN3HxQ/AAAAAAAAAAI/AAAAAAAAAAA/YlekFtr_jkw/s44-p-k-no-ns-nd/photo.jpg,ChIJU4plAsJfYogR7CpwagVZ-20,#f1e6df,#a22d2e
pro-elite-hvac-llc,,,"Pro Elite HVAC, LLC.",,https://lh6.googleusercontent.com/-sbKcfC9OqSM/AAAAAAAAAAI/AAAAAAAAAAA/WQWdPfniztg/s44-p-k-no-ns-nd/photo.jpg,ChIJ8z3Z2CWNYogRGzEMmee6Fp0,#3192a8,#e39851
coley-air-conditioning-inc,,,Coley Air Conditioning Inc,http://coleyair.com/,https://lh5.googleusercontent.com/-1KdoDBz22Z0/AAAAAAAAAAI/AAAAAAAAAAA/k-x2V-zms0o/s44-p-k-no-ns-nd/photo.jpg,ChIJz6X0x7Z5kIgRIz-ZCzkNooo,#dcdef2,#9b9dd6
surfside-heating-cooling,,,Surfside Heating & Cooling,https://surfside.services/hvac/,https://lh3.googleusercontent.com/-o2qWCf4x9vE/AAAAAAAAAAI/AAAAAAAAAAA/Dn6WSDVpGSI/s44-p-k-no-ns-nd/photo.jpg,ChIJO8c1evd5kIgRED5cKwRxCFc,#418c8b,#e7f3f3
wynn-creek-ac,,,Wynn Creek AC,https://atmore.wynncreekac.com/,https://lh5.googleusercontent.com/-AdfNxVN2ltM/AAAAAAAAAAI/AAAAAAAAAAA/6lzidcgCR2s/s44-p-k-no-ns-nd/photo.jpg,ChIJBfLBUYadmogRBGXnF1hCd8k,#060504,#b19968
economy-air-heating-ac,,,Economy Air Heating & AC,http://www.economyairauburn.com/,https://lh3.googleusercontent.com/-CSXEWf5Z6UY/AAAAAAAAAAI/AAAAAAAAAAA/W9Qekw9jXO4/s44-p-k-no-ns-nd/photo.jpg,ChIJsZk_zTmTjIgRFztVrfLvkvU,#2f3048,#d1cdd1
delta-heating-cooling-llc,,,Delta Heating & Cooling LLC,,https://lh6.googleusercontent.com/-xeNDm1BPoDo/AAAAAAAAAAI/AAAAAAAAAAA/TQEOwJpKflM/s44-p-k-no-ns-nd/photo.jpg,ChIJPVURMfmJmogRKvQEu2asPSk,Error,Error
