name,phone,carrier_type,city,state,latitude,longitude,reviews,rating,reviews_link,email_1,facebook,place_id,logo,working_hours,site,photos_count,created_at,site_status
Braden Plumbing,+1 501-351-3070,mobile,,,34.75201560,-92.12942800,,,,bradenplumbing@yahoo.com,https://www.facebook.com/bradenplumbing/,ChIJcxsF_XWo0ocRJxy0U-ju6qk,https://lh6.googleusercontent.com/-nMtSbKx63Ko/AAAAAAAAAAI/AAAAAAAAAAA/qubq73YDMOM/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-6PM, Tuesday: 7AM-6PM, Wednesday: 7AM-6PM, Thursday: 7AM-6PM, Friday: 7AM-6PM, Saturday: 7AM-6PM, Sunday: 7AM-6PM",http://www.bradenplumbing.net/,5,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),Down (429)
"Johnson, Gaylan Plumbing Service Inc.",+1 501-413-7374,mobile,Little Rock,Arkansas,34.70840860,-92.38130420,,,,service@plumbingnwa.com,https://www.facebook.com/nwaplumbing/,ChIJ756Jniqk0ocRQPKD4rcOgCI,https://lh5.googleusercontent.com/-RGeqr9dXcBI/AAAAAAAAAAI/AAAAAAAAAAA/Q-5Z33lIp0U/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-4:30PM, Tuesday: 7AM-4:30PM, Wednesday: 7AM-4:30PM, Thursday: 7AM-4:30PM, Friday: 7AM-4:30PM, Saturday: Closed, Sunday: Closed",,1,Fri Jun 20 2025 11:06:07 GMT+0000 (Coordinated Universal Time),No Website
All Drains,+1 501-413-4548,mobile,Little Rock,Arkansas,34.71794370,-92.37149010,,,,,,ChIJAQAAADCk0ocRNTPuiEzlhaE,,,,1,Fri Jun 20 2025 11:06:07 GMT+0000 (Coordinated Universal Time),No Website
Addison's Best Hydro Jetting & Plumber,+1 469-703-8531,mobile,Little Rock,Arkansas,34.74816060,-92.27554860,,,,,,ChIJixADg2O70ocRSCLZfEhAg50,,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-6PM, Sunday: 8AM-6PM",,1,Fri Jun 20 2025 11:06:04 GMT+0000 (Coordinated Universal Time),No Website
L & L Pro Plumbing,+1 501-708-8118,mobile,,,34.75152900,-92.30988050,,,,,,ChIJ6x6lOZ2j0ocRNvc4Lmx79aA,https://lh4.googleusercontent.com/-JiYNSrly73M/AAAAAAAAAAI/AAAAAAAAAAA/6c674XIVeZM/s44-p-k-no-ns-nd/photo.jpg,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-1PM, Saturday: Closed, Sunday: Closed",,,Fri Jun 20 2025 11:06:03 GMT+0000 (Coordinated Universal Time),No Website
Conley Plumbing,+1 501-590-2904,mobile,,,34.84029190,-92.31365510,,,,,,ChIJDX-JbXNbzYcRk2n6pq9yqdk,https://lh5.googleusercontent.com/-YDGqNy9kQ0I/AAAAAAAAAAI/AAAAAAAAAAA/HJID-6WhM60/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7:30AM-4:30PM, Tuesday: 7:30AM-5PM, Wednesday: 7:30AM-4:30PM, Thursday: 7:30AM-5PM, Friday: 7:30AM-3PM, Saturday: Closed, Sunday: Closed",https://conleyplumbingar.com/,,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),Up
Sam's Plumbing,+1 501-412-1315,mobile,,,34.88119750,-91.93945750,,,,,,ChIJp_78KhSt0ocRik-_L2Ly2gs,https://lh4.googleusercontent.com/-C0Gb29Rim1k/AAAAAAAAAAI/AAAAAAAAAAA/YMf33oK5UFE/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-6PM, Tuesday: 7AM-6PM, Wednesday: 7AM-6PM, Thursday: 7AM-6PM, Friday: 7AM-6PM, Saturday: 7AM-6PM, Sunday: Closed",,,Fri Jun 20 2025 11:06:08 GMT+0000 (Coordinated Universal Time),No Website
Chuck's Plumbing,+1 501-520-1252,mobile,Little Rock,Arkansas,34.69665090,-92.46876770,,,,,,ChIJifn44XpYzYcRWeKVooKaDZg,https://lh4.googleusercontent.com/-CvEkNEDqg_k/AAAAAAAAAAI/AAAAAAAAAAA/f2hspN-uEOY/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-6PM, Sunday: 8AM-6PM",,1,Fri Jun 20 2025 11:06:10 GMT+0000 (Coordinated Universal Time),No Website
Good Times Plumbing,+1 501-286-3539,mobile,,,34.97387600,-92.15746560,103,5.00,"https://search.google.com/local/reviews?placeid=ChIJN6obUh3g6wcR1m5k-pf59Oo&q=plumber,+72216,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",goodtimesplumbing@gmail.com,,ChIJN6obUh3g6wcR1m5k-pf59Oo,https://lh4.googleusercontent.com/-0WZ66DI8OOo/AAAAAAAAAAI/AAAAAAAAAAA/5yxgxPEzUX4/s44-p-k-no-ns-nd/photo.jpg,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: Closed, Sunday: Closed",http://goodtimesplumbing.com/,11,Fri Jun 20 2025 11:06:11 GMT+0000 (Coordinated Universal Time),Down (403)
AMG Plumbing,+1 501-707-5140,mobile,Little Rock,Arkansas,34.76582820,-92.40086730,90,5.00,"https://search.google.com/local/reviews?placeid=ChIJZzZfvt_GVEAR6vQ7Gxqjhao&q=plumber,+72202,+Little+Rock,+AR,+US&authuser=0&hl=en&gl=US",amgplumbingar@gmail.com,,ChIJZzZfvt_GVEAR6vQ7Gxqjhao,https://lh4.googleusercontent.com/-TYRWsKLj1KU/AAAAAAAAAAI/AAAAAAAAAAA/5zo33-gzV68/s44-p-k-no-ns-nd/photo.jpg,"Monday: 7AM-5PM, Tuesday: 7AM-5PM, Wednesday: 7AM-5PM, Thursday: 7AM-5PM, Friday: 7AM-5PM, Saturday: Closed, Sunday: Closed",http://www.amgplumbingark.com/,201,Fri Jun 20 2025 11:06:04 GMT+0000 (Coordinated Universal Time),Up
