id,name,slug,city,state,phone,rating,reviews,place_id,reviews_link,predicted_label,r_30,r_60,r_90,r_365,first_review_date,parsed_working_hours,email_1,site,latitude,longitude,first_name,last_name,modern_trust_preview,created_at,updated_at
976217c0-2ae5-46c5-8809-561a65459fb4,Taylor Heating & Air,taylor-heating-air,Alexander,Arkansas,+1 501-847-5035,4.7,12,ChIJFWT9bbGp0ocR0P2lMem5Xc4,"https://search.google.com/local/reviews?placeid=ChIJFWT9bbGp0ocR0P2lMem5Xc4&q=hvac,+Alexander,+AR,+US&authuser=0&hl=en&gl=US",logo,1,3,4,12,12/2024,"{""monday"": ""7AM-4PM"", ""tuesday"": ""7AM-4PM"", ""wednesday"": ""7AM-4PM"", ""thursday"": ""7AM-4PM"", ""friday"": ""7AM-4PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",,http://taylorheatingair.com/,34.6111677,-92.434217,,,https://atlasthrust.ai/t/modern-trust/taylor-heating-air,2025-05-14T07:47:02.098Z,
de742afd-0e3e-46f3-ad9c-782493740f91,Jim's Heating & AC,jims-heating-ac,Altus,Arkansas,+1 479-213-0786,4.8,24,ChIJz_IWez6Ky4cRaBj9e9Busog,"https://search.google.com/local/reviews?placeid=ChIJz_IWez6Ky4cRaBj9e9Busog&q=hvac,+Altus,+AR,+US&authuser=0&hl=en&gl=US",not_logo,3,6,8,24,06/2024,,,,35.4363923,-93.7735701,,,https://atlasthrust.ai/t/modern-trust/jims-heating-ac,2025-05-14T07:47:02.098Z,
f5871543-7292-4afa-9817-e4567e2fb6a8,Platinum Air,platinum-air,Amity,Arkansas,+1 501-446-0373,5,77,ChIJdcQyZcyfdEkRp-CL5sY-pQA,"https://search.google.com/local/reviews?placeid=ChIJdcQyZcyfdEkRp-CL5sY-pQA&q=hvac,+Amity,+AR,+US&authuser=0&hl=en&gl=US",logo,11,19,26,77,04/2022,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",sutterplatinum@gmail.com,https://platinumairexperts.com/,34.264661,-93.4714922,Sutterplatinum,,https://atlasthrust.ai/t/modern-trust/platinum-air,2025-05-14T07:47:02.098Z,
11ec5033-b722-4e97-baeb-6320439cf328,Dickerson Air Conditioning & Refrigeration Service,dickerson-air-conditioning-refrigeration-service,Austin,Arkansas,+1 501-843-9525,4.3,9,ChIJ-Vd9JmXl0ocRA7oZIpTMbug,"https://search.google.com/local/reviews?placeid=ChIJ-Vd9JmXl0ocRA7oZIpTMbug&q=hvac,+Austin,+AR,+US&authuser=0&hl=en&gl=US",not_logo,1,2,3,9,01/2025,"{""monday"": ""8AM-5PM"", ""tuesday"": ""8AM-5PM"", ""wednesday"": ""8AM-5PM"", ""thursday"": ""8AM-5PM"", ""friday"": ""8AM-5PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",,https://dickersonacandrefrigerationservice.com/,34.9905672,-91.980509,,,https://atlasthrust.ai/t/modern-trust/dickerson-air-conditioning-refrigeration-service,2025-05-14T07:47:02.098Z,
b547176b-d70f-437c-bc7a-81871b846b65,Bennett Heating and Air Conditioning - Electrical,bennett-heating-and-air-conditioning-electrical,Batesville,Arkansas,+1 870-834-9714,4.8,39,ChIJ0098OEvv04cRMn0IqOSzXtE,"https://search.google.com/local/reviews?placeid=ChIJ0098OEvv04cRMn0IqOSzXtE&q=hvac,+Batesville,+AR,+US&authuser=0&hl=en&gl=US",not_logo,5,9,13,39,11/2023,"{""monday"": ""8AM-4:30PM"", ""tuesday"": ""8AM-4:30PM"", ""wednesday"": ""8AM-4:30PM"", ""thursday"": ""8AM-4:30PM"", ""friday"": ""8AM-4:30PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",bennetthvacjeanni@gmail.com,http://www.bennettheatair.com/,35.7878642,-91.6556585,Bennetthvacjeanni,,https://atlasthrust.ai/t/modern-trust/bennett-heating-and-air-conditioning-electrical,2025-05-14T07:47:02.098Z,
8a92b0d6-5207-4ffe-9768-c3f4c2d6bbf4,Climatek Hvac & Electrical,climatek-hvac-electrical,Batesville,Arkansas,+1 870-307-8581,5,6,ChIJhadCae7F04cRba9Wv7-6I-k,"https://search.google.com/local/reviews?placeid=ChIJhadCae7F04cRba9Wv7-6I-k&q=hvac,+Batesville,+AR,+US&authuser=0&hl=en&gl=US",not_logo,0,1,2,6,03/2025,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",hunter.climatekhvac@gmail.com,,35.6991864,-91.6237712,Hunter,Climatekhvac,https://atlasthrust.ai/t/modern-trust/climatek-hvac-electrical,2025-05-14T07:47:02.098Z,
93f49e52-3685-4b45-8cea-514966512fbf,"Wade's Heating, Air Conditioning & Electrical",wades-heating-air-conditioning-electrical,Batesville,Arkansas,+1 870-793-4051,4,28,ChIJheZSTgzb04cRAOp9NF7AzyE,"https://search.google.com/local/reviews?placeid=ChIJheZSTgzb04cRAOp9NF7AzyE&q=hvac,+Batesville,+AR,+US&authuser=0&hl=en&gl=US",not_logo,4,7,9,28,04/2024,"{""monday"": ""7AM-4PM"", ""tuesday"": ""7AM-4PM"", ""wednesday"": ""7AM-4PM"", ""thursday"": ""7AM-4PM"", ""friday"": ""7AM-4PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",c.wade@teamwades.com,https://teamwades.com/contact/us/,35.7657973,-91.6209555,C,Wade,https://atlasthrust.ai/t/modern-trust/wades-heating-air-conditioning-electrical,2025-05-14T07:47:02.098Z,
428fe853-5453-4c3a-9055-77a85e3369a1,Shuburte Electric and HVAC inc.,shuburte-electric-and-hvac-inc,Bay,Arkansas,+1 870-219-8734,5,6,ChIJvzv1B__T1YcRgvsB4rAa7n8,"https://search.google.com/local/reviews?placeid=ChIJvzv1B__T1YcRgvsB4rAa7n8&q=hvac,+Bay,+AR,+US&authuser=0&hl=en&gl=US",not_logo,0,1,2,6,03/2025,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",contact@sansoxygen.com,https://shuburteelectric-hvacinc.com/,35.7446561,-90.5638677,,,https://atlasthrust.ai/t/modern-trust/shuburte-electric-and-hvac-inc,2025-05-14T07:47:02.098Z,
092611df-adca-4141-82b4-936b36ee0c26,Holland Heat and Air,holland-heat-and-air,Beebe,Arkansas,+1 501-743-0786,4.5,39,ChIJWw7wY83l0ocRjMkOVPLR7gU,"https://search.google.com/local/reviews?placeid=ChIJWw7wY83l0ocRjMkOVPLR7gU&q=hvac,+Beebe,+AR,+US&authuser=0&hl=en&gl=US",not_logo,5,9,13,39,11/2023,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",,https://hollandhvacar.com/,35.0094767,-91.9519459,,,https://atlasthrust.ai/t/modern-trust/holland-heat-and-air,2025-05-14T07:47:02.098Z,
1ee09922-363f-4ad6-b572-9e4cb84ced91,Williams Heat and Air Services,williams-heat-and-air-services,Benton,Arkansas,+1 501-732-0180,5,8,ChIJt6u12Y1RzYcRq7RKoyxis8A,"https://search.google.com/local/reviews?placeid=ChIJt6u12Y1RzYcRq7RKoyxis8A&q=hvac,+Benton,+AR,+US&authuser=0&hl=en&gl=US",not_logo,1,2,2,8,01/2025,"{""monday"": ""8AM-5PM"", ""tuesday"": ""8AM-5PM"", ""wednesday"": ""8AM-5PM"", ""thursday"": ""8AM-5PM"", ""friday"": ""8AM-5PM"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",,,32.9999923,-93.1390809,,,https://atlasthrust.ai/t/modern-trust/williams-heat-and-air-services,2025-05-14T07:47:02.098Z,
