name,slug,city,state,phone,rating,reviews,place_id,reviews_link,predicted_label,r_30,r_60,r_90,r_365,first_review_date,parsed_working_hours,email_1,site,latitude,longitude,modern_trust_preview,logo_storage_path
AIRZONE LLC,airzone-llc,Alabaster,Alabama,+1 205-281-8385,5.0,14,ChIJGTj3csMviYgR1bqIgtjFr9E,"https://search.google.com/local/reviews?placeid=ChIJGTj3csMviYgR1bqIgtjFr9E&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",logo,0,5,9,15,11/2024,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",airzonehvacandrefridgeration@gmail.com,https://airzonellc.com/,33.1682087,-86.7905722,https://atlasgrowth.ai/t/modern-trust/airzone-llc,/logos/airzone-llc.png
L&S Heating and Cooling,ls-heating-and-cooling,Alabaster,Alabama,+1 205-728-3035,5.0,22,ChIJDXSCow4piYgRJOVsWWdFMW8,"https://search.google.com/local/reviews?placeid=ChIJDXSCow4piYgRJOVsWWdFMW8&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",not_logo,0,0,0,0,07/2024,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""Closed""}",,,33.1955038,-86.8389153,https://atlasgrowth.ai/t/modern-trust/ls-heating-and-cooling,
"Ready Heating and Air, LLC",ready-heating-and-air-llc,Alabaster,Alabama,+1 205-709-7255,2.9,15,ChIJ92bjvsgviYgRdb3kenDw30M,"https://search.google.com/local/reviews?placeid=ChIJ92bjvsgviYgRdb3kenDw30M&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",not_logo,0,0,0,0,11/2024,"{""monday"": ""8AM-5PM"", ""tuesday"": ""8AM-5PM"", ""wednesday"": ""8AM-5PM"", ""thursday"": ""8AM-5PM"", ""friday"": ""8AM-5PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",readyheatingandair@yahoo.com,,33.1893,-86.7909446,https://atlasgrowth.ai/t/modern-trust/ready-heating-and-air-llc,
All Seasons Heating & Cooling,all-seasons-heating-cooling,Albertville,Alabama,+1 256-406-8068,4.5,37,ChIJ-6thtVsCiogR7tjwm-JrbZk,"https://search.google.com/local/reviews?placeid=ChIJ-6thtVsCiogR7tjwm-JrbZk&q=hvac,+Albertville,+AL,+US&authuser=0&hl=en&gl=US",not_logo,0,0,0,2,12/2023,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",jim@alabamacomfort.com,https://www.alabamacomfort.com/,34.3241336,-86.2286478,https://atlasgrowth.ai/t/modern-trust/all-seasons-heating-cooling,
Advanced Heating & Air Pros - Alexander City,advanced-heating-air-pros-alexander-city,Alexander City,Alabama,+1 256-750-8804,4.6,27,ChIJRQOwXAsLjIgRt1BdLVkn2Vs,"https://search.google.com/local/reviews?placeid=ChIJRQOwXAsLjIgRt1BdLVkn2Vs&q=hvac,+Alexander+City,+AL,+US&authuser=0&hl=en&gl=US",logo,0,1,1,11,05/2024,"{""monday"": ""7AM-7PM"", ""tuesday"": ""7AM-7PM"", ""wednesday"": ""7AM-7PM"", ""thursday"": ""7AM-7PM"", ""friday"": ""7AM-7PM"", ""saturday"": ""8AM-5PM"", ""sunday"": ""12-5PM""}",mike.advancedheatingandac@gmail.com,https://advancedacpros.com/,32.9544722,-85.9849839,https://atlasgrowth.ai/t/modern-trust/advanced-heating-air-pros-alexander-city,/logos/advanced-heating-air-pros-alexander-city.png
Jackson's Refrigeration LLC,jacksons-refrigeration-llc,Alexander City,Alabama,+1 256-234-4457,4.3,18,ChIJfZ28MZkLjIgRLGAgE4PXHBo,"https://search.google.com/local/reviews?placeid=ChIJfZ28MZkLjIgRLGAgE4PXHBo&q=hvac,+Alexander+City,+AL,+US&authuser=0&hl=en&gl=US",logo,1,1,1,2,09/2024,"{""monday"": ""7AM-4PM"", ""tuesday"": ""7AM-4PM"", ""wednesday"": ""7AM-4PM"", ""thursday"": ""7AM-4PM"", ""friday"": ""7AM-4PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",jacksonref@yahoo.com,http://a1fourseasons.com/,32.9431838,-85.9769268,https://atlasgrowth.ai/t/modern-trust/jacksons-refrigeration-llc,/logos/jacksons-refrigeration-llc.png
Byrd's Heating & Cooling,byrds-heating-cooling,Altoona,Alabama,+1 205-625-4227,5.0,19,ChIJS5GU6jWOiYgRuvpMtOAnsW0,"https://search.google.com/local/reviews?placeid=ChIJS5GU6jWOiYgRuvpMtOAnsW0&q=hvac,+Altoona,+AL,+US&authuser=0&hl=en&gl=US",logo,0,1,1,5,09/2024,"{""monday"": ""7:30AM-5PM"", ""tuesday"": ""7:30AM-5PM"", ""wednesday"": ""7:30AM-5PM"", ""thursday"": ""7:30AM-5PM"", ""friday"": ""7:30AM-5PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",,,33.972129,-86.399732,https://atlasgrowth.ai/t/modern-trust/byrds-heating-cooling,/logos/byrds-heating-cooling.png
CAMCOR Heating and Cooling,camcor-heating-and-cooling,Altoona,Alabama,+1 256-677-1880,4.3,12,ChIJf-eAfaWSiYgR8Oarj3oMqmE,"https://search.google.com/local/reviews?placeid=ChIJf-eAfaWSiYgR8Oarj3oMqmE&q=hvac,+Altoona,+AL,+US&authuser=0&hl=en&gl=US",not_logo,0,0,0,1,12/2024,"{""monday"": ""7AM-8PM"", ""tuesday"": ""7AM-8PM"", ""wednesday"": ""7AM-8PM"", ""thursday"": ""7AM-8PM"", ""friday"": ""7AM-8PM"", ""saturday"": ""Closed"", ""sunday"": ""7AM-8PM""}",,,34.0900975,-86.426961,https://atlasgrowth.ai/t/modern-trust/camcor-heating-and-cooling,
Excel Electric Heating and Cooling,excel-electric-heating-and-cooling,Andalusia,Alabama,+1 334-746-6222,4.9,81,ChIJWe35VLdnigERkWFli6wucrU,"https://search.google.com/local/reviews?placeid=ChIJWe35VLdnigERkWFli6wucrU&q=hvac,+Andalusia,+AL,+US&authuser=0&hl=en&gl=US",logo,1,4,6,27,02/2022,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",excelelectricofalabama@gmail.com,http://www.excelehc.com/,31.3346199,-86.4679246,https://atlasgrowth.ai/t/modern-trust/excel-electric-heating-and-cooling,/logos/excel-electric-heating-and-cooling.png
Roger's Refrigeration,rogers-refrigeration,Andalusia,Alabama,+1 334-222-8977,4.3,61,ChIJ3c21_yDskYgRkInvIDUaB9g,"https://search.google.com/local/reviews?placeid=ChIJ3c21_yDskYgRkInvIDUaB9g&q=hvac,+Andalusia,+AL,+US&authuser=0&hl=en&gl=US",not_logo,0,1,1,27,12/2022,"{""monday"": ""7:30AM-4:30PM"", ""tuesday"": ""7:30AM-4:30PM"", ""wednesday"": ""7:30AM-4:30PM"", ""thursday"": ""7:30AM-4:30PM"", ""friday"": ""7:30AM-4:30PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",r.knox@myrogersrefrigeration.com,http://www.myrogersrefrigeration.com/,31.3030953,-86.4768089,https://atlasgrowth.ai/t/modern-trust/rogers-refrigeration,
